client_orderid,client_custid,client_prodid,cases_ordered,units_ordered,cases_inven,units_inven,discount,discount_flag
11213,4,245,0,0,0,0,0,0
11213,4,256,0,0,0,0,0,0
11221,4,256,2,0,0,0,0,0
11197,4,256,2,0,0,0,0,0
11221,4,257,4,0,0,0,0,0
11213,4,257,0,0,0,0,0,0
11197,4,257,6,0,0,0,0,0
11197,4,258,30,0,0,0,0,0
11221,4,258,30,0,0,0,0,0
11213,4,258,0,0,0,0,0,0
11197,4,259,0,0,0,0,0,0
11213,4,259,0,0,0,0,0,0
11221,4,259,52,0,0,0,0,0
11221,4,260,0,0,0,0,0,0
11213,4,260,4,0,0,0,0,0
11197,4,260,0,0,0,0,0,0
11221,4,275,36,0,0,0,0,0
11213,4,275,0,0,0,0,0,0
11197,4,275,36,0,0,0,0,0
11197,4,296,2,0,0,0,0,0
11213,4,296,2,0,0,0,0,0
11221,4,296,3,0,0,0,0,0
11221,4,297,1,0,0,0,0,0
11213,4,297,0,0,0,0,0,0
11197,4,297,0,0,0,0,0,0
11197,4,312,2,0,0,0,0,0
11221,4,312,2,0,0,0,0,0
11213,4,312,0,0,0,0,0,0
11221,4,325,0,0,0,0,0,0
11197,4,325,0,0,0,0,0,0
11213,4,325,0,0,0,0,0,0
11221,4,344,0,0,0,0,0,0
11197,4,344,0,0,0,0,0,0
11213,4,344,1,0,0,0,0,0
11221,4,351,1,0,0,0,0,0
11197,4,351,0,0,0,0,0,0
11213,4,351,1,0,0,0,0,0
11197,4,363,0,0,0,0,0,0
11213,4,363,10,0,0,0,0,0
11221,4,363,0,0,0,0,0,0
11221,4,365,2,0,0,0,0,0
11213,4,365,0,0,0,0,0,0
11197,4,365,2,0,0,0,0,0
11197,4,366,6,0,0,0,0,0
11221,4,366,0,0,0,0,0,0
11213,4,366,0,0,0,0,0,0
11197,4,367,0,0,0,0,0,0
11213,4,367,0,0,0,0,0,0
11221,4,367,0,0,0,0,0,0
11197,4,378,10,0,0,0,0,0
11213,4,378,10,0,0,0,0,0
11221,4,378,10,0,0,0,0,0
11197,4,379,2,0,0,0,0,0
11221,4,379,2,0,0,0,0,0
11213,4,379,0,0,0,0,0,0
11221,4,384,18,0,0,0,0,0
11213,4,384,0,0,0,0,0,0
11197,4,384,18,0,0,0,0,0
11197,4,386,40,0,0,0,0,0
11221,4,386,50,0,0,0,0,0
11213,4,386,0,0,0,0,0,0
11197,4,388,0,0,0,0,0,0
11221,4,388,0,0,0,0,0,0
11213,4,388,0,0,0,0,0,0
11221,4,416,8,0,0,0,0,0
11213,4,416,0,0,0,0,0,0
11197,4,416,0,0,0,0,0,0
11221,4,417,0,0,0,0,0,0
11197,4,417,0,0,0,0,0,0
11213,4,417,0,0,0,0,0,0
11213,4,420,0,0,0,0,0,0
11221,4,420,0,0,0,0,0,0
11197,4,420,0,0,0,0,0,0
11213,4,439,1,0,0,0,0,0
11197,4,439,0,0,0,0,0,0
