row_id,client_orderid,client_custid,client_prodid,cases_ordered,units_ordered,cases_inven,units_inven,discount,discount_flag,order_date,delivery_date,pc_count
121,11213,4,104,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
124,11213,4,105,2,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
128,11213,4,113,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
129,11213,4,114,2,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
133,11213,4,116,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
137,11213,4,117,2,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
138,11213,4,119,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
142,11213,4,121,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
145,11213,4,122,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
149,11213,4,123,1,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
152,11213,4,125,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
153,11213,4,128,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
158,11213,4,130,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
159,11213,4,131,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
162,11213,4,133,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
167,11213,4,138,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
169,11213,4,141,2,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
176,11213,4,145,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
178,11213,4,146,1,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
182,11213,4,147,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
184,11213,4,148,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
191,11213,4,150,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
193,11213,4,151,3,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
196,11213,4,160,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
200,11213,4,161,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
202,11213,4,162,1,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
204,11213,4,164,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
209,11213,4,166,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
211,11213,4,185,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
213,11213,4,186,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
216,11213,4,196,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
223,11213,4,207,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
227,11213,4,228,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
229,11213,4,230,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
233,11213,4,243,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
235,11213,4,245,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
236,11213,4,256,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
240,11213,4,257,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
244,11213,4,258,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
246,11213,4,259,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
249,11213,4,260,4,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
252,11213,4,275,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
258,11213,4,297,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
262,11213,4,312,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
265,11213,4,325,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
268,11213,4,344,1,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
271,11213,4,351,1,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
273,11213,4,363,10,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
276,11213,4,365,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
280,11213,4,366,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
282,11213,4,367,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
289,11213,4,379,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
291,11213,4,384,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
295,11213,4,386,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
298,11213,4,388,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
300,11213,4,416,0,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
304,11213,4,417,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
305,11213,4,420,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
308,11213,4,439,1,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
313,11213,4,446,14,0,0,0,0.0,0,2018-08-14,2018-08-14,1.0
316,11213,4,465,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
319,11213,4,468,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
322,11213,4,470,0,0,0,0,0.0,0,2018-08-14,2018-08-14,2.0
323,11213,4,471,0,0,0,0,0.0,0,2018-08-14,2018-08-14,0.0
